Entrada	Xénero complementario	Categoría	Sinónimos	Nota
ouropeso	  	 m 	abrótea abrótega 	
abrótega	  	 f 	abrótea ouropeso 	
abrótea	  	 f 	abrótega ouropeso 	
bruño2	  	 m 	abruño> 	
refungadoiro	  	 m 	abruón afumadoiro2 afungadoiro fungadoiro 	
fungadoiro	  	 m 	abruón afumadoiro2 afungadoiro refungadoiro 	
afungadoiro	  	 m 	abruón afumadoiro2 fungadoiro refungadoiro 	
afumadoiro2	  	 m 	abruón afungadoiro fungadoiro refungadoiro 	lat 'funis' 'corda'
ousia	  	 f 	ábsida 	
acazapar	  	 pr 	acachoupar 	
atanguer	  	 t i 	acadar 	
coudullar	  	 t 	acadullar cadabullar cadullar 	
cadullar	  	 t 	acadullar cadabullar coudullar 	
cadabullar	  	 t 	acadullar cadullar coudullar 	
aquecer	  	 i 	acaer 	
canizar	  	 t 	acainzar acanizar cainzar 	
acanizar	  	 t 	acainzar cainzar canizar 	
abordelar	  	 t 	acamboar agabitar atreixar solear 	
cainzar	  	 t 	acanizar acainzar canizar 	
acainzar	  	 t 	acanizar cainzar canizar 	
arrinconar	  	 t 	acantoar> 	
careo	  	 s 	acareo> 	
carroulear	  	 i 	acarroular 	
castizar	  	 t pr 	acastizar 	
acachoupar	  	 pr 	acazapar 	
accesible	  	 a 	accesíbel 	
accesíbel	  	 a 	accesible 	
cenar	  	 i 	acenar 	
ceno	  	 m 	aceno 	
aceptable	  	 a 	aceptábel 	
aceptablemente	  	 av 	aceptabelmente 	
aceptábel	  	 a 	aceptable 	
aceptabelmente	  	 av 	aceptablemente 	
cernar	  	 t 	acernar 	
cercear	  	 t 	acernar=> 	
xardón	  	 m 	acevo acivro 	
acivro	  	 m 	acevo xardón 	
estela2	  	 f 	acha 	pao
achanzar	  	 t 	achaiar achandar 	
achandar	  	 t 	achaiar achanzar 	
azancar	  	 i 	achancar alancar 	
alancar	  	 i 	achancar azancar 	
achaiar	  	 t 	achandar achanzar 	
charoar	  	 t 	acharoar=> 	
aportar2	  	 t 	achegar=> 	
chicar	  	 t 	achicar 	
abouxar	  	 t 	achourilar 	
apromar	  	 t 	achumbar> 	
xebrar	  	 t 	acibar chibar 	
chibar	  	 t pr 	acibar xebrar 	
rengueiro	  	 m 	acicarro cambón 	
cambón	  	 m 	acicarro rengueiro 	
asmo	  	 am 	ácimo 	
racimo	  	 m 	acio> 	
zurrichar	  	 t 	aciriscar cichar cirichar 	
cirichar	  	 t 	aciriscar cichar zurrichar 	
cichar	  	 t 	aciriscar cirichar zurrichar 	
encirrar	  	 t 	acirrar aporrear embizcar 	
embizcar	  	 t 	acirrar aporrear encirrar 	
aporrear	  	 t 	acirrar embizcar encirrar 	
arrizar1	  	 t 	acirrar=> 	
acevo	  	 m 	acivro xardón 	
aclimatable	  	 a 	aclimatábel 	
aclimatábel	  	 a 	aclimatable 	
agochar	  	 t pr 	acochar 	
agocho	  	 m 	acocho 	
cocorar	  	 i 	acocorar=> 	
acolar	  	 t 	acoeirar 	
acoeirar	  	 t 	acolar 	
colear2	  	 t 	acoletar 	
acollido	 acollida 	 pt a f 	acolleito 	
acolleito	 acolleita 	 pt a 	acollido 	
acunchado	 acunchada 	 a 	aconchado 	
arreconchegar	  	 t pr 	aconchegar=> 	
acondicionable	  	 a 	acondicionábel 	
acondicionábel	  	 a 	acondicionable 	
aconsellable	  	 a 	aconsellábel 	
aconsellábel	  	 a 	aconsellable 	
consellar	  	 t pr 	aconsellar 	
preacordo	  	 m 	acordo previo> 	
decotío	  	 av 	acotío 	
cotío,a	  	 lav 	acotío> 	
apazugar	  	 i 	acougar 	
acobardado	 acobardada 	 pt a 	acovardado> 	
acobardamento	  	 m 	acovardamento> 	
acobardar	  	 t pr 	acovardar> 	
acrecentable	  	 a 	acrecentábel 	
acrecentábel	  	 a 	acrecentable 	
acreditable	  	 a 	acreditábel 	
acreditábel	  	 a 	acreditable 	
Ac	  	 sb 	actinio 	
acumulable	  	 a 	acumulábel 	
acumulábel	  	 a 	acumulable 	
aconchado	 aconchada 	 a 	acunchado 	
arrecunchar	  	 t pr 	acurrunchar 	
acortar	  	 t 	acurtar=> 	
acusable	  	 a 	acusábel 	
acusábel	  	 a 	acusable 	
adaptable	  	 a 	adaptábel 	
adaptábel	  	 a 	adaptable 	
adeno-	  	 pref 	aden- 	gr 'glándula'
aden-	  	 pref 	adeno- 	gr 'glándula'
mordiscar	  	 t 	adentar> 	
entrenar	  	 t pr 	adestrar> 	
adiable	  	 a 	adiábel 	
adiábel	  	 a 	adiable 	
engadalla	  	 f 	adialla amecedalla 	
amecedalla	  	 f 	adialla engadalla 	
luria	  	 f 	adival rello1 trelo 	
administrable	  	 a 	administrábel 	
administrábel	  	 a 	administrable 	
admirable	  	 a 	admirábel 	
admirablemente	  	 av 	admirabelmente 	
admirábel	  	 a 	admirable 	
admirabelmente	  	 av 	admirablemente 	
admisible	  	 a 	admisíbel 	
admisíbel	  	 a 	admisible 	
adubar	  	 t 	adobar 	
adubo	  	 m 	adobo 	
adoptable	  	 a 	adoptábel 	
adoptábel	  	 a 	adoptable 	
adorable	  	 a 	adorábel 	
adorablemente	  	 av 	adorabelmente 	
adorábel	  	 a 	adorable 	
adorabelmente	  	 av 	adorablemente 	
adquirible	  	 a 	adquiríbel 	
adquiríbel	  	 a 	adquirible 	
astrinxente	  	 a 	adstrinxente> 	
adobar	  	 t 	adubar 	
adobo	  	 m 	adubo 	
aducible	  	 a 	aducíbel 	
aducíbel	  	 a 	aducible 	
adulterable	  	 a 	adulterábel 	
adulterábel	  	 a 	adulterable 	
advindo	 advinda 	 pt a 	advido 	advir
advido	 advida 	 pt a 	advindo 	advir
adxectivable	  	 a 	adxectivábel 	
adxectivábel	  	 a 	adxectivable 	
adxudicable	  	 a 	adxudicábel 	
adxudicábel	  	 a 	adxudicable 	
aerotransportable	  	 a 	aerotransportábel 	
aerotransportábel	  	 a 	aerotransportable 	
afable	  	 a 	afábel 	
afablemente	  	 av 	afabelmente 	
afábel	  	 a 	afable 	
afabelmente	  	 av 	afablemente 	
aficionado	 aficionada 	 a s 	afeccionado=> 	
aguzalapis	  	 m 	afialapis 	
afialápices	  	 m 	afialapis> 	
enforcar	  	 t pr 	aforcar 	
forrar3	  	 t 	aforrar=> 	
abruón	  	 m 	afumadoiro2 afungadoiro refungadoiro fungadoiro 	
afungar	  	 t 	afumar2 	
afuadoiro	  	 m 	afungadoiro=> 	
afumar2	  	 t 	afungar 	lat 'funis' 'corda'
refungar2	  	 t 	afungar 	
afuar	  	 t 	afungar=> 	
afoscar	  	 t i 	afuscar> 	
agás	  	 pp 	aga 	
ágamo	 ágama 	 a 	agámico 	
agámico	 agámica 	 a 	ágamo 	
garimoso	 garimosa 	 a 	agarimoso=> 	
aga	  	 pp 	agás 	
arruñar	  	 i 	agatuñar 	
gatear	  	 i 	agatuñar engatar gabear gapear 	
gapear	  	 i 	agatuñar engatar gabear gatear 	
gabear	  	 i 	agatuñar engatar gapear gatear 	
engatar	  	 i 	agatuñar gabear gapear gatear 	
aglutinable	  	 a 	aglutinábel 	
aglutinábel	  	 a 	aglutinable 	
degoado	 degoada 	 a 	agoadizo 	
degoar	  	 t pr 	agoar 	
agromar	  	 i 	agomar 	
gomar	  	 i 	agomar=> 	
enemigar	  	 t pr 	agoniar> pór a mal> 	
agradable	  	 a 	agradábel 	
agradablemente	  	 av 	agradabelmente 	
agradábel	  	 a 	agradable 	
agradabelmente	  	 av 	agradablemente 	
gradar	  	 t 	agradar2 	
azorrar	  	 t 	agradar2 gradar 	arrastrar
grade	  	 f 	agrade 	
agregable	  	 a 	agregábel 	
agregábel	  	 a 	agregable 	
degretar	  	 i pr 	agretar degresar 	
degresar	  	 i pr 	agretar degretar 	
grisáceo	 grisácea 	 a 	agrisado> 	
agomar	  	 i 	agromar 	
ufar	  	 i 	agruar aturular aturuxar grixar 	
grixar	  	 i 	agruar aturular aturuxar ufar 	
aturuxar	  	 i 	agruar aturular grixar ufar 	
aturular	  	 i 	agruar aturuxar grixar ufar 	
gruar	  	 i 	agruar=> 	
agrura	  	 f 	agrume 	
ufido	  	 m 	agrúo aturulo aturuxo grixido 	
grixido	  	 m 	agrúo aturulo aturuxo ufido 	
aturuxo	  	 m 	agrúo aturulo grixido ufido 	
aturulo	  	 m 	agrúo aturuxo grixido ufido 	
agrupable	  	 a 	agrupábel 	
agrupábel	  	 a 	agrupable 	
agrume	  	 m 	agrura 	
auga-	  	 pref 	agua- 	
aiga	  	 f 	aguia 	
aguilloar	  	 t 	aguillar 	
aguillar	  	 t 	aguilloar 	
minuteiro	  	 m 	agulla dos minutos> 	
afialapis	  	 m 	aguzalapis 	
aguia	  	 f 	aiga 	
inda	  	 av c 	aínda 	
anque	  	 c 	aínda que 	
eira	  	 f 	aira 	
eirada	  	 f 	airada 	
eirado	  	 m 	airado1 	
ar	  	 m 	aire 	
eiroa	  	 f 	airoa 	
á2	  	 f 	ala 	
alicantino	 alicantina 	 a s 	alacantino=> 	
empozamento	  	 m 	alagamento 	
alaparear	  	 i 	alampar 	
zancada	  	 f 	alancada chancada 	
chancada	  	 f 	alancada zancada 	
achancar	  	 i 	alancar azancar 	
alampar	  	 i 	alaparear 	
gallamouto	  	 m 	alarido 	
atagallido	  	 m 	alarido> 	
atallarido	  	 m 	alarido> 	
albanelería	  	 f 	albanelaría 	
albanelaría	  	 f 	albanelería 	
robra	  	 f 	albaroque 	
branquear	  	 t i 	albear 	
érbedo	  	 m 	albedro 	
veriño2	 veriña 	 a 	albeiro> 	
albeitería	  	 f 	albeitaría 	
albeitaría	  	 f 	albeitería 	
alborexar	  	 i 	alborecer 	
alborecer	  	 i 	alborexar 	
albugo	  	 m 	albuxe> 	
alcaiotería	  	 f 	alcaiotaría 	
alcaiotaría	  	 f 	alcaiotería 	
alcanzable	  	 a 	alcanzábel 	
alcanzábel	  	 a 	alcanzable 	
asequible	  	 a 	alcanzable> accesible> 	
chapapote	  	 m 	alcatrán 	
ciprés	  	 m 	alcipreste 	
alcol	  	 m 	alcohol 	
alcol-	  	 pref 	alcohol- 	alcohol
alcohol	  	 m 	alcol 	
alcohol-	  	 pref 	alcol- 	
corán	  	 m 	alcorán 	
pataguillón	  	 m 	alcrique 	
alcuñar	  	 t pr 	alcumar 	
alcuño	  	 m 	alcume 	
mote	  	 m 	alcume> 	
alcumar	  	 t pr 	alcuñar 	
alcume	  	 m 	alcuño 	
ultraxar	  	 t 	aldraxar=> 	
ultraxe	  	 f 	aldraxe=> 	
alegable	  	 a 	alegábel 	
alegábel	  	 a 	alegable 	
embelga	  	 f 	aleira 	
embelgar	  	 t 	aleirar 	
lárice	  	 m 	alerce 	
olga	  	 f 	alga 	
guarismo	  	 m 	algarismo> 	
alicates	  	 mpl 	alicate 	
alicate	  	 m 	alicates 	
cimento	  	 m 	alicerce 	
cimentar	  	 t pr 	alicerzar 	
unicornio	  	 m 	alicorno 	
alienable	  	 a 	alienábel 	
alienábel	  	 a 	alienable 	
apacentar	  	 t 	alindar 	
alleable	  	 a 	alleábel 	
alleábel	  	 a 	alleable 	
almacenable	  	 a 	almacenábel 	
almacenábel	  	 a 	almacenable 	
marfil	  	 m 	almafí 	
palangana	  	 f 	almofía> 	
almorávide	  	 a s 	almorábide> 	
alongable	  	 a 	alongábel 	
alongábel	  	 a 	alongable 	
alterable	  	 a 	alterábel 	
alterábel	  	 a 	alterable 	
altiveza	  	 f 	altivez 	
altivez	  	 f 	altiveza 	
altavoz	  	 m 	altofalante> 	
altura	  	 f 	altor 	
altor	  	 m 	altura 	
alugable	  	 a 	alugábel 	
alugábel	  	 a 	alugable 	
alumear	  	 t i pr 	alumar 	
alumar	  	 t i pr 	alumear 	
Al	  	 sb 	aluminio 	
relustrar	  	 i 	alustrar lostregar lustrar2 	
lustrar2	  	 i 	alustrar lostregar relustrar 	
lostregar	  	 i 	alustrar lustrar2 relustrar 	
relustro	  	 m 	alustro apago lóstrego lustro2 	
lustro2	  	 m 	alustro apago lóstrego relustro 	
lóstrego	  	 m 	alustro apago lustro2 relustro 	
apago	  	 m 	alustro lóstrego lustro2 relustro 	
abellariza	  	 f 	alvariza 	
mazmorra	  	 f 	alxube> 	
amable	  	 a 	amábel 	
amablemente	  	 av 	amabelmente 	
amábel	  	 a 	amable 	
amabelmente	  	 av 	amablemente 	
samo	  	 m 	ámago magolo moguelo2 sámago 	
sámago	  	 m 	ámago magolo moguelo2 samo 	
moguelo2	  	 m 	ámago magolo sámago samo 	
magolo	  	 m 	ámago moguelo2 sámago samo 	
amalloa	  	 f 	amalló 	
amalló	  	 m 	amalloa 	
amencer	  	 i m 	amañecer 	
amencida	  	 f 	amañecida 	
ovellado	 ovellada 	 a 	amanelado 	
amarfañar	  	 t 	amaravallar amarfallar 	
amarfallar	  	 t 	amaravallar amarfañar 	
marelecer	  	 i 	amarelecer 	
marelo	 marela 	 a m 	amarelo 	
amaravallar	  	 t 	amarfallar amarfañar 	
derrear	  	 t pr 	amarrear 	
adialla	  	 f 	amecedalla engadalla 	
enmeigar	  	 t 	ameigar 	
amañecer	  	 i m 	amencer 	
amañecida	  	 f 	amencida 	
amieiral	  	 m 	ameneiral abeneiral 	
abeneiral	  	 m 	ameneiral amieiral 	
amieiro	  	 m 	ameneiro abeneiro 	
abeneiro	  	 m 	ameneiro amieiro 	
mentar	  	 t 	amentar> 	
Am	  	 sb 	americio 	
amestrable	  	 a 	amestrábel 	
amestrábel	  	 a 	amestrable 	
amatista	  	 f 	ametista=> 	
almidón	  	 m 	amidón> 	
ameneiral	  	 m 	amieiral abeneiral 	
ameneiro	  	 m 	amieiro abeneiro 	
amigable	  	 a 	amigábel 	
amigablemente	  	 av 	amigabelmente 	
amigábel	  	 a 	amigable 	
amistoso	 amistosa 	 a 	amigable=> 	
amigabelmente	  	 av 	amigablemente 	
amistosamente	  	 av 	amigablemente=> 	
amistar	  	 t pr 	amigar=> 	
amilo-	  	 pref 	amil- 	amidón
amil-	  	 pref 	amilo- 	amidón
amino-	  	 pref 	amin- 	amina
amin-	  	 pref 	amino- 	amina
amistade	  	 f 	amizade=> 	
anzol	  	 m 	amocelo 	
modo,a	  	 lav 	amodo> 	
estremar	  	 t i 	amolloar derregar 	xebrar
derregar	  	 t pr 	amolloar estremar 	
aporcar	  	 t 	amontear 	
mora1	  	 f 	amora 	
ataniscar	  	 t 	amordicar amosegar amozcar anozcar 	
amozcar	  	 t 	amordicar amosegar anozcar ataniscar 	
amosegar	  	 t 	amordicar amozcar anozcar ataniscar 	
anozcar	  	 t 	amordiscar amosegar amozcar ataniscar 	
mornear1	  	 t i 	amornar 	
moroteira	  	 f 	amorodeira 	
morodeira	  	 f 	amorodeira=> 	
morote	  	 m 	amorodo amorogo careixón 	
careixón	  	 m 	amorodo amorogo morote 	
amorogo	  	 m 	amorodo careixón morote 	
morodo	  	 m 	amorodo=> 	
morogo	  	 m 	amorodo=> 	
morango	  	 m 	amorodo> 	
amorodo	  	 m 	amorogo careixón morote 	
amortizable	  	 a 	amortizábel 	
amortizábel	  	 a 	amortizable 	
anozcoada	  	 f 	amosegadura amozcadura 	
amozcadura	  	 f 	amosegadura anozcoada 	
amordicar	  	 t 	amosegar amozcar anozcar ataniscar 	
aboucar	  	 t i 	amoucar=> 	
amovible	  	 a 	amovíbel 	
amovíbel	  	 a 	amovible 	
amosegadura	  	 f 	amozcadura anozcoada 	
calmear	  	 i 	ampear 	
A2	  	 sb 	ampere 	
amperio	  	 m 	ampere=> 	
ampliable	  	 a 	ampliábel 	
ampliábel	  	 a 	ampliable 	
empola	  	 f 	ampola> 	
empolar	  	 t i 	ampolar> 	
a-2	  	 pref 	an- 	gr (a-,an- priv.)
pedazo	  	 m 	anaco 	
trozo	  	 m 	anaco> 	
analizable	  	 a 	analizábel 	
analizábel	  	 a 	analizable 	
enciñar	  	 t 	anciñar=> 	
enciño	  	 m 	anciño=> 	
andable	  	 a 	andábel 	
andábel	  	 a 	andable 	
nécora	  	 f 	andarica 	
anebrar	  	 i 	aneboar 	
aneboar	  	 i 	anebrar 	
anexo2	 anexa 	 a 	anello> 	cast 'añejo'
anémona	  	 f 	anemone 	
anicar	  	 t pr 	anesgar 	
engazar	  	 t 	angazar=> 	
engazo	  	 m 	angazo=> 	
anesgar	  	 t pr 	anicar 	
anicrar	  	 t pr 	anicar> 	
inzo	  	 m 	aniñadoiro aniñador endego éndez 	
éndez	  	 m 	aniñadoiro aniñador endego inzo 	
endego	  	 m 	aniñadoiro aniñador éndez inzo 	
aniñador	  	 m 	aniñadoiro endego éndez inzo 	
aniñadoiro	  	 m 	aniñador endego éndez inzo 	
niñador	  	 m 	aniñador=> 	
niñar	  	 i 	aniñar=> 	
cordeiro1	 cordeira 	 s 	año 	
anodino	 anodina 	 a 	anódino> 	
enxeitar	  	 t 	anoxar asañar 	
enoxar	  	 t pr 	anoxar> 	
antifaz	  	 m 	anteface> 	
entena	  	 f 	antena2 	favo
antepor	  	 t pr 	antepoñer 	
antepoñer	  	 t pr 	antepor 	
revéspera	  	 f 	antevéspera 	
antidóping	  	 m 	antidopaxe> 	
Sb	  	 sb 	antimonio 	
antinebra	  	 m 	antinéboa 	
antinéboa	  	 m 	antinebra 	
antoxar	  	 pr 	antollar> 	
nantronte	  	 av 	antonte=> 	
noutronte	  	 av 	antonte=> 	
nubrar	  	 t i pr 	anubrar 	
anulable	  	 a 	anulábel 	
anulábel	  	 a 	anulable 	
amocelo	  	 m 	anzol 	
ó1	  	 cont 	ao 	a4(pp)+o2(art)
alindar	  	 t 	apacentar 	linde
apagable	  	 a 	apagábel 	
apagábel	  	 a 	apagable 	
alustro	  	 m 	apago lóstrego lustro2 relustro 	
empalleirar	  	 t 	apalleirar 	
palpar	  	 t 	apalpar 	
manosear	  	 t 	apalpar> sobar> 	
empanar2	  	 t pr 	apanar atrapazar 	pano
atrapazar	  	 t pr 	apanar empanar2 	
panda2	  	 f 	apanda 	
pandar	  	 i 	apandar 	
esparruñar	  	 i 	aparruñar 	
acougar	  	 i 	apazugar 	
pexadoiro	  	 m 	apeadoiro 	
pioga	  	 f 	apear2 	
pegadizo	 pegadiza 	 a 	apegadizo 	
pegañar	  	 pr 	apegañar 	
pegañento	 pegañenta 	 a 	apegañento 	
pegañoso	 pegañosa 	 a 	apegañoso 	
apelable	  	 a 	apelábel 	
apelábel	  	 a 	apelable 	
penas,a	  	 lav 	apenas 	
apretar	  	 t 	apertar> 	
apetecible	  	 a 	apetecíbel 	
apetecíbel	  	 a 	apetecible 	
pincharado	 pincharada 	 a 	apigarado pegarado 	
pegarado	 pegarada 	 a 	apigarado pincharado 	
aplacable	  	 a 	aplacábel 	
aplacábel	  	 a 	aplacable 	
aplicable	  	 a 	aplicábel 	
aplicábel	  	 a 	aplicable 	
pócima	  	 f 	apócema> 	
apor	  	 t 	apoñer 	
apoñer	  	 t 	apor 	
amontear	  	 t 	aporcar 	
acirrar	  	 t 	aporrear embizcar encirrar 	
postema	  	 m 	apostema> 	
postila	  	 f 	apostila 	
coletilla	  	 f 	apostila> engadido> 	
atoutiñar	  	 i 	apoupiñar 	
apracible	  	 a 	apracíbel 	
apracíbel	  	 a 	apracible 	
aprazable	  	 a 	aprazábel 	
aprazábel	  	 a 	aprazable 	
apreciable	  	 a 	apreciábel 	
apreciablemente	  	 av 	apreciabelmente 	
apreciábel	  	 a 	apreciable 	
apreciabelmente	  	 av 	apreciablemente 	
deprender	  	 t i 	aprender 	
aprobable	  	 a 	aprobábel 	
aprobábel	  	 a 	aprobable 	
apropiable	  	 a 	apropiábel 	
apropiábel	  	 a 	apropiable 	
aproveitable	  	 a 	aproveitábel 	
aproveitábel	  	 a 	aproveitable 	
empuxar	  	 t 	apuxar 	
empuxón	  	 m 	apuxón 	
acaer	  	 i 	aquecer 	
atenzar	  	 t 	aquendar arroldar atempar 	
atempar	  	 t 	aquendar arroldar atenzar 	
arroldar	  	 t 	aquendar atempar atenzar 	
aquelo	  	 p 	aquilo> 	vid aquel
aire	  	 m 	ar 	
arable	  	 a 	arábel 	
rabela	  	 f 	arabela 	
alavés	 alavesa 	 a s 	arabés=> 	Álava
arábel	  	 a 	arable 	
alambrada	  	 f 	aramado> 	
alambrar	  	 t 	aramar> 	
aramio	  	 m 	arame=> 	
heraldo	  	 m 	arauto 	
arbitrable	  	 a 	arbitrábel 	
arbitrábel	  	 a 	arbitrable 	
arborizable	  	 a 	arborizábel 	
arborizábel	  	 a 	arborizable 	
arcabuzaría	  	 f 	arcabucería 	
arcabucería	  	 f 	arcabuzaría 	
cea2	  	 f 	arcea 	
arquiepiscopal	  	 a 	arcebispal 	
arquidiácono	  	 m 	arcediago 	
arbotante	  	 m 	arcobotante> 	
vareixa	  	 f 	areixa arengo besa careixa chamiza2 sen2 	
sen2	  	 f 	areixa arengo besa careixa chamiza2 vareixa 	
chamiza2	  	 f 	areixa arengo besa careixa sen2 vareixa 	
careixa	  	 f 	areixa arengo besa chamiza2 sen2 vareixa 	
besa	  	 f 	areixa arengo careixa chamiza2 sen2 vareixa 	
arengo	  	 m 	areixa besa careixa chamiza2 sen2 vareixa 	
cerrizo	  	 m 	arelo cernizo 	
cernizo	  	 m 	arelo cerrizo 	
areixa	  	 f 	arengo besa careixa chamiza2 sen2 vareixa 	
garandar	  	 t 	arentar 	
garanda	  	 f 	arento 	
inar	  	 i 	arfar arquexar 	
arquexar	  	 i 	arfar inar 	
A1	  	 sb 	argon 	
arriano	 arriana 	 a s 	ariano> 	
orinque	  	 m 	arinque 	
armable	  	 a 	armábel 	
armábel	  	 a 	armable 	
armería	  	 f 	armaría 	
almeiro	  	 m 	armeiro> 	
armaría	  	 f 	armería 	
cachal	  	 m 	arna 	toxo
arneste	  	 m 	arneiro arneirón 	
arneirón	  	 m 	arneiro=> arneste=> 	
arneiro	  	 m 	arneirón arneste 	
arnoiao	 arnoiá 	 a s 	arnoián 	
arnoián	 arnoiá 	 a s 	arnoiao 	A Arnoia
mexarela	  	 f 	arola 	
vilagarcián	 vilagarciá 	 a s 	arousán 	Vilagarcía de Arousa
vilanovés	 vilanovesa 	 a s 	arousán 	Vilanova de Arousa
axóuxere	  	 m 	arouxo 	
harpa	  	 f 	arpa> 	
arfar	  	 i 	arquexar inar 	
archi-	  	 pref 	arqui-> 	gr 'principal'
arcediago	  	 m 	arquidiácono 	
arquivable	  	 a 	arquivábel 	
arquivábel	  	 a 	arquivable 	
arrabaldo	  	 m 	arrabalde> 	
arrinca	  	 f 	arranca 	
arrincada	  	 f 	arrancada 	
arrincadeira	  	 f 	arrancadeira 	
arrincar	  	 t i 	arrancar 	
randeeira	  	 f 	arrandeadoiro bambán carriola 	
carriola	  	 f 	arrandeadoiro bambán randeeira 	
bambán	  	 m 	arrandeadoiro carriola randeeira 	
randear	  	 t pr 	arrandear arrolicar carriolar 	
carriolar	  	 t pr 	arrandear arrolicar randear 	
arrolicar	  	 t pr 	arrandear carriolar randear 	
arrinque	  	 m 	arranque 	
acurrunchar	  	 t pr 	arrecunchar 	
darredor	  	 av 	arredor1=> 	
refriado	  	 m 	arrefriado> 	
resfriado	  	 m 	arrefriado> 	
refriar	  	 t i pr 	arrefriar> 	
resfriar	  	 t i pr 	arrefriar> 	
enfriar	  	 t i pr 	arrefriar> arrefecer> 	
arrenlar	  	 t i pr 	arrelar 	
remangar	  	 t pr 	arremangar 	
arremedable	  	 a 	arremedábel 	
arremedábel	  	 a 	arremedable 	
remedar	  	 t 	arremedar=> 	
ubrar	  	 i 	arremollar aubrar 	
aubrar	  	 i 	arremollar ubrar 	
redra	  	 f 	arrenda 	
arrendable	  	 a 	arrendábel 	
arrendábel	  	 a 	arrendable 	
redrar	  	 t 	arrendar2 	
rendar	  	 t 	arrendar2=> 	
arrelar	  	 t i pr 	arrenlar 	
reo,a	  	 lav 	arreo1=> 	
arrepuiñar	  	 t i pr 	arrepiar 	
arrepor	  	 pr 	arrepoñer 	
arrepoñer	  	 pr 	arrepor 	
arrepiar	  	 t i pr 	arrepuiñar 	
enrevesado	 enrevesada 	 a 	arrevesado=> 	
rexuntar	  	 t pr 	arrexuntar=> 	
arranca	  	 f 	arrinca 	
arrancada	  	 f 	arrincada 	
arrancadeira	  	 f 	arrincadeira 	
arrancar	  	 t i 	arrincar 	
arranque	  	 m 	arrinque 	
cómbaro	  	 m 	arró arroleiro comareiro cómaro 	
cómaro	  	 m 	arró arroleiro comareiro cómbaro 	
comareiro	  	 m 	arró arroleiro cómaro cómbaro 	
arroleiro	  	 m 	arró comareiro cómaro cómbaro 	
rodear	  	 t i pr 	arrodear2 	
rodeo	  	 m 	arrodeo 	
arrubiado	 arrubiada 	 a 	arroibado 	
arrubiar	  	 i pr 	arroibar 	
abarrelar	  	 t 	arrolar1 	
roular2	  	 t i 	arrolar2 	
rolar	  	 t i 	arrolar2=> 	
aquendar	  	 t 	arroldar atempar atenzar 	
arró	  	 m 	arroleiro comareiro cómaro cómbaro 	
arrandear	  	 t pr 	arrolicar carriolar randear 	
rollar	  	 t 	arrollar=> 	
romancear	  	 t 	arromanzar 	
arrumbar	  	 t i 	arrombar> 	
arrautada	  	 f 	arroutada=> 	
arreutada	  	 f 	arroutada=> 	
arreuto	  	 m 	arrouto=> 	
arroibado	 arroibada 	 pt a 	arrubiado 	
arroibar	  	 i pr 	arrubiar 	
articulable	  	 a 	articulábel 	
